birga,valin,valout,direction,rates,volume
live,BTC,PZM,buy,0.00000215,100.0
live,BTC,PZM,buy,0.00000216,200.0
live,BTC,PZM,buy,0.00000217,897.67
live,BTC,PZM,buy,0.00000219,947.1277864799999
live,BTC,PZM,buy,0.00000228,3041.9013800499997
live,BTC,PZM,buy,0.00000257,3232.18090933
live,BTC,PZM,buy,0.00000278,4087.40752266
live,BTC,PZM,buy,0.00000292,4277.68705194
live,BTC,PZM,buy,0.00000332,4467.96658122
live,BTC,PZM,buy,0.00000377,4658.2461105
live,BTC,PZM,buy,0.00000428,4848.52563978
live,PZM,BTC,sell,0.00000158,1398.73417721
live,PZM,BTC,sell,0.00000182,2613.01989149
live,PZM,BTC,sell,0.00000199,2866.29765984
live,PZM,BTC,sell,0.00000204,5728.04357601
live,PZM,BTC,sell,0.00000205,8575.829756
live,PZM,BTC,sell,0.00000206,11409.791731239999
live,PZM,BTC,sell,0.00000207,18363.835209499997
live,PZM,BTC,sell,0.00000208,21170.547550359996
live,PZM,BTC,sell,0.00000211,21245.062712159997
live,PZM,BTC,sell,0.00000213,21245.215277499996
